goodreads_book_id,tag_id,count
1,30574,167697
1,11305,37174
1,11557,34173
1,8717,12986
1,33114,12716
1,11743,9954
1,14017,7169
1,5207,6221
1,22743,4974
1,32989,4364
1,27199,3857
1,11590,3456
1,18886,3374
1,6953,2408
1,22753,1881
1,24960,1821
1,1691,1742
1,6857,1560
1,15965,1309
1,6888,1095
1,26785,1093
1,6828,1027
1,2104,1022
1,9221,987
1,20774,984
1,7457,958
1,25765,858
1,15169,853
1,3389,836
1,1128,828
1,6895,798
1,11505,792
1,17124,748
1,22034,744
1,11370,738
1,11497,730
1,19974,718
1,3392,701
1,22973,673
1,25234,659
1,20849,653
1,33009,612
1,29452,600
1,32623,552
1,10644,552
1,31617,547
1,5751,534
1,16427,532
1,5090,522
1,25152,505
1,29011,484
1,24964,474
1,20939,465
1,33012,464
1,14024,450
1,20824,449
1,22689,446
1,6960,445
1,18045,440
1,3371,433
1,33124,416
1,21989,410
1,615,399
1,26897,392
1,32654,386
1,11491,384
1,11550,368
1,25151,364
1,18851,354
1,16799,351
1,27535,348
1,17213,347
1,33165,338
1,26138,334
1,11574,324
1,30521,324
1,25150,314
1,30573,312
1,2106,305
1,6838,300
1,17129,297
1,10197,294
1,25770,294
1,8055,289
1,25167,284
1,1120,283
1,7852,281
1,26842,281
1,25153,279
1,10641,279
1,6920,276
1,11579,274
1,22352,273
1,20781,272
1,6914,268
1,5444,266
1,18913,265
1,11595,264
1,6829,263
